成员, 贡献排行, 贡献本周, 战功本周, 助攻本周, 捐献本周, 贡献总量, 战功总量, 助攻总量, 捐献总量, 势力值, 所属州, 分组
戰魂丨一道门,211,38876391,106902,17603,213524,38876391,106902,17603,213524,19000, 京兆北, 双魂团
朴亿升,163,38867359,124490,24397,411339,38867359,124490,24397,411339,18360, 京兆北, 绝对领域
思源丶陈桂林,250,38602366,80244,15536,1061247,43651269,80244,15536,1061247,19200, 京兆北, 思源二团
金麟丨不系舟,179,38595893,108963,24279,212888,38595893,108963,24279,212888,21576, 京兆北, 金麟团
戰魂丨空空,215,37964367,83219,16614,350677,37964367,83219,16614,350677,22870, 京兆北, 双魂团
没遮拦穆弘,218,37758285,88670,15501,222694,41663903,88670,15501,222694,22240, 京兆北, 绝对领域
戰魂丨缪斯,125,37583834,153180,23483,406176,40835430,153180,23483,406176,23010, 长安, 双魂团
天神丨修士,113,37534480,179315,22531,204044,41667884,179315,22531,204044,22513, 长安, 天神团
無雙丿趙子龍,214,37482666,108937,34350,201185,42691548,108937,34350,201185,19580, 京兆北, 双魂团
金麟丨姣姣,124,37444637,163149,23497,201247,37444637,163149,23497,201247,20600, 京兆北, 金麟团
天神丨小刚蛋,271,36888302,29242,4270,301105,38601553,29242,4270,301105,18693, 京兆北, 天神二团
天神丨三更,187,36348033,114780,13633,404291,36889824,114780,13633,404291,20550, 京兆北, 天神团
金麟丨欧诺,180,36219070,203582,30751,415973,36294170,203582,30751,415973,18780, 京兆北, 金麟团
天神丨朗拿度,206,36193130,117722,19117,698166,42344776,117722,19117,698166,20323, 京兆北, 天神二团
戰丿廉展硕,262,36192357,41300,11454,289969,36192357,41300,11454,289969,17710, 京兆北, 特勤营
思源丶靓仔,229,36105095,77414,14703,197806,36105095,77414,14703,197806,18140, 京兆北, 思源团
金麟丨白马,175,36088152,113830,15269,206327,38869579,113830,15269,206327,17500, 京兆北, 金麟团
天神丨小彩蛋,155,35807258,160512,16799,212725,40311191,160512,16799,212725,19040, 京兆北, 天神团
極丨闲王很忙,193,35767189,121144,24338,581327,35947924,121144,24338,581327,19820, 京兆北, 绝对领域
無雙丿独尊,209,35756012,136885,25911,405772,37277040,136885,25911,405772,18793, 京兆北, 双魂团
無雙丿晴宝,191,35504040,195136,26556,206939,35836344,195136,26556,206939,17493, 京兆北, 双魂团
思源丶剑风,199,35403083,122647,12887,548357,39452630,122647,12887,548357,19680, 京兆北, 思源二团
烽火丨老衲,185,35385786,113235,14715,418289,35801711,113235,14715,418289,19740, 京兆北, 绝对领域
天神丨景鸿,198,34650305,161206,31398,228611,34781036,161206,31398,228611,21403, 京兆北, 天神团
思源丶叶飞,146,34112381,158357,15393,325995,37847014,158357,15393,325995,26290, 长安, 思源团
思源丶洛克李,236,33790071,99425,14334,698447,33790071,99425,14334,698447,19030, 京兆北, 思源团
金鳞丨千里,171,33646426,120334,20731,201371,36568888,120334,20731,201371,18980, 京兆北, 金麟团
军机丨帝师,222,33579340,98815,6330,408557,33579340,98815,6330,408557,18320, 京兆北, 绝对领域
思源丶胖丁,210,33049421,137393,17526,215931,33049421,137393,17526,215931,20940, 京兆北, 思源团
金紫泳,227,33027399,77201,11752,203572,33027399,77201,11752,203572,18900, 京兆北, 绝对领域
思源丶卧龍,270,32965646,24276,7989,427461,34139468,24276,7989,427461,17623, 京兆北, 思源二团
